Modelo,MAE,RMSE,MAPE
XGBoost,1.9925055959240563,2.5042645945760964,25.776200470953125
LSTM,2.4814179208046387,2.9423406894066124,30.16209997973024
"ARIMA(2, 1, 2)",3.091597721671049,3.5926674126938125,34.82617317972038
ARIMA_no_Recursive,3.240884915903592,3.7542691625472484,35.997380432169166
NaiveLast,3.376387866245239,3.901174727555884,37.01383321290023
NaiveRepeat,3.376387866245239,3.901174727555884,37.01383321290023
Holt,3.3953768657947334,3.920473966616497,37.17469135223151
RandomForest,3.5149132774180973,4.05663805876251,37.82647480478515
Holt_no_Recursive,4.545433828751026,5.090525244070115,48.913669191233545
